Thu 27 Apr 18:01:41 BST 2017
PING 186.1.192.114 (186.1.192.114) 56(84) bytes of data.
64 bytes from 186.1.192.114: icmp_seq=81 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=82 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=83 ttl=238 time=145 ms
64 bytes from 186.1.192.114: icmp_seq=84 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=85 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=87 ttl=238 time=145 ms
64 bytes from 186.1.192.114: icmp_seq=88 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=89 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=90 ttl=238 time=145 ms
64 bytes from 186.1.192.114: icmp_seq=91 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=92 ttl=238 time=145 ms
64 bytes from 186.1.192.114: icmp_seq=94 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=95 ttl=238 time=145 ms
64 bytes from 186.1.192.114: icmp_seq=96 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=97 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=98 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=99 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=100 ttl=238 time=146 ms

--- 186.1.192.114 ping statistics ---
100 packets transmitted, 91 received, 9% packet loss, time 99142ms
rtt min/avg/max/mdev = 144.207/146.534/290.934/15.237 ms



Fri 28 Apr 06:01:43 BST 2017
PING 186.1.192.114 (186.1.192.114) 56(84) bytes of data.
64 bytes from 186.1.192.114: icmp_seq=1 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=2 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=3 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=4 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=5 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=6 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=7 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=8 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=9 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=10 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=11 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=12 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=13 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=14 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=15 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=16 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=17 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=18 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=19 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=20 ttl=238 time=140 ms
